always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,2,1,5,,8,10,1,sky130_fd_sc_lp__nand3,Combinational,,1,3,10,0,0,8,8,0
3,0,11,5,3,16,10,1,Timer,Memory,13,0,28,30,0,2,6,14,0
3,24,33,5,,9,10,1,decoder_4to16,Combinational,,28,52,47,0,0,19,35,0
3,1,22,5,,7,10,4,top_module,Combinational,,1,0,6,1,1,26,26,1
3,0,3,5,3,12,10,1,counter_modulo3,Counter,5,1,12,14,0,2,5,5,0
3,22,12,5,,13,10,1,adder,Combinational,,0,51,40,14,1,5,14,15
3,0,40,5,,13,10,1,multiplier,Arithmetic,16,0,0,6,0,3,6,42,0
3,0,1,5,,10,10,1,counter_async_reset,Counter,,0,2,5,0,1,3,3,0
3,1,5,5,,10,10,1,wasca_hexdot,Sequential,1,1,7,16,1,0,11,11,0
3,3,16,5,1,12,10,1,stratixiv_tsdblock,Memory,1,0,3,18,0,5,17,23,0
3,1,22,5,3,13,10,3,top_module,Counter,9,1,18,24,3,3,25,27,1
3,0,3,5,3,11,10,1,dual_ff,Memory,6,0,9,14,0,0,8,8,0
3,0,4,5,,9,10,1,binary_adder,Arithmetic,,0,1,4,0,1,4,6,0
3,0,8,5,2,9,10,1,ds8dac1,Sequential,,0,4,7,0,2,7,10,0
3,0,3,5,,7,10,1,four_bit_adder,Combinational,,0,2,7,0,2,6,6,0
3,1,3,5,,7,10,1,bool_func,Combinational,,0,3,6,1,0,6,6,1
3,6,6,5,3,18,10,1,uart_tx,Counter,19,2,28,33,0,8,11,11,0
3,0,4,5,,10,10,1,barrel_shifter,Combinational,1,0,3,8,1,0,5,7,0
3,0,2,5,3,8,10,1,memory,Combinational,,0,5,7,0,0,5,5,2
3,0,1,5,,7,10,1,binary_to_gray,Combinational,,0,3,2,0,0,2,2,3
3,0,1,5,,10,10,1,counter,Counter,,0,2,5,0,1,3,3,0
3,0,5,5,,11,10,1,booth_multiplier,Arithmetic,,0,3,6,0,1,5,7,1
3,1,17,5,,12,10,1,alu,Arithmetic,2,1,30,33,1,2,4,20,2
3,4,5,5,,9,10,1,my_module,Combinational,,3,9,16,2,0,8,8,0
3,0,2,5,,11,10,1,shift_register_gated,Sequential,,0,0,4,0,0,5,5,0
3,0,2,5,2,11,10,1,gray_to_bcd,Memory,2,0,3,7,0,1,4,4,0
3,0,2,5,1,11,10,1,shift_right,Sequential,1,0,2,6,0,0,4,4,0
3,0,3,5,,10,10,1,priority_encoder,Control,4,0,5,6,0,0,4,4,0
3,2,6,5,,6,10,1,digital_circuit,Combinational,,1,4,11,1,0,13,13,0
3,0,2,5,,12,10,1,dff,Sequential,4,1,7,12,0,0,7,7,0
3,0,2,5,,7,10,1,sky130_fd_sc_hd__parity_gen,Combinational,,0,,,0,0,3,3,0
3,4,6,5,,8,10,1,sky130_fd_sc_hs__mux4_2,Combinational,4,4,10,18,0,0,12,12,0
